Right/Wrong,Conf Pred Right,Actual,Max,Ranking Array
Right,57.53,"['Beverly Hills, California']",42,"[('Beverly Hills, California', 42), ('Los Angeles, California', 23), ('Paris, France', 2), ('Manhattan, New York', 1), ('Nesconset, New York', 1), ('Jackson, Wyoming', 1), ('Moved in 2015', 1), ('Great Neck, New York', 1), ('Mexico City, Mexico', 1)]"
Right,56.58,"['Beverly Hills, California', 'San Francisco, California']",43,"[('Beverly Hills, California', 43), ('Los Angeles, California', 24), ('Moved in 2017', 1), ('Carson, California', 1), ('Dallas, Texas', 1), ('Barcelona, Spain', 1), ('Moved in 2015', 1), ('New York, New York', 1), ('Paris, France', 1), ('Sherman Oaks', 1)]"
Right,56.0,"['Beverly Hills, California']",42,"[('Beverly Hills, California', 42), ('Los Angeles, California', 25), ('Jackson, Wyoming', 1), ('Moved in 2014', 1), ('Phoenix, Arizona', 1), ('Toronto, Ontario', 1), ('Meguro', 1), ('Ithaca, New York', 1), ('Bristol, United Kingdom', 1), ('Great Neck, New York', 1)]"
Wrong,55.26,"['Carson, California', 'Los Angeles, California']",42,"[('Beverly Hills, California', 42), ('Los Angeles, California', 21), ('San Francisco, California', 2), ('Moved in 2017', 1), ('Denver, Colorado', 1), ('Ventura, California', 1), ('Mayaguez, Puerto Rico', 1), ('Toronto, Ontario', 1), ('Shanghai, China', 1), ('Moved in 2015', 1)]"
Right,54.32,"['Beverly Hills, California']",44,"[('Beverly Hills, California', 44), ('Los Angeles, California', 26), ('Moved in 2019', 2), ('Chicago, Illinois', 1), ('Huntington Beach, California', 1), ('Kansas City, Kansas', 1), ('Moved in 2017', 1), ('New York, New York', 1), ('Paris, France', 1), ('Great Neck, New York', 1)]"
Wrong,52.44,"['Barcelona, Spain', 'Dallas, Texas']",43,"[('Beverly Hills, California', 43), ('Los Angeles, California', 29), ('Moved in 2019', 2), ('San Francisco, California', 2), ('Chicago, Illinois', 1), ('Moved in 2017', 1), ('Carson, California', 1), ('Toronto, Ontario', 1), ('New York, New York', 1), ('Great Neck, New York', 1)]"
Wrong,51.9,"['Los Angeles, California']",41,"[('Beverly Hills, California', 41), ('Los Angeles, California', 29), ('New York, New York', 2), ('Kansas City, Kansas', 1), ('Moved in 2015', 1), ('Tehran, Iran', 1), ('Moved in 2019', 1), ('Bristol, United Kingdom', 1), ('Mexico City, Mexico', 1), ('San Francisco, California', 1)]"
Right,51.25,"['Beverly Hills, California', 'Great Neck, New York']",41,"[('Beverly Hills, California', 41), ('Los Angeles, California', 21), ('Paris, France', 3), ('New York, New York', 2), ('Manhattan, New York', 1), ('Nesconset, New York', 1), ('Manila, Philippines', 1), ('Moved in 2017', 1), ('Mayaguez, Puerto Rico', 1), ('Toronto, Ontario', 1)]"
Right,48.84,"['Beverly Hills, California']",42,"[('Beverly Hills, California', 42), ('Los Angeles, California', 31), ('Moved in 2015', 2), ('Moved in 2019', 2), ('Chicago, Illinois', 1), ('Nesconset, New York', 1), ('Huntington Beach, California', 1), ('Moved in 2017', 1), ('Tel Aviv, Israel', 1), ('New York, New York', 1)]"
Right,45.65,"['Newport Beach, California', 'Beverly Hills, California']",42,"[('Beverly Hills, California', 42), ('Los Angeles, California', 29), ('San Francisco, California', 3), ('Manhattan, New York', 1), ('Huntington Beach, California', 1), ('Manila, Philippines', 1), ('Colorado Springs, Colorado', 1), ('Shanghai, China', 1), ('Moved in 1997', 1), ('Bangkok, Thailand', 1)]"
