Right/Wrong,Conf Pred Right,Actual,Max,Ranking Array
Right,30.65,['UCLA'],19,"[('UCLA', 19), ('University of Southern California', 8), ('Beverly Hills High School', 8), ('Santa Monica College', 3), ('Herman Ostrow School of Dentistry of USC', 3), ('UCLA School of Law', 2), ('USC Marshall School of Business', 2), ('California University of Science and Medicine', 1), ('School of the Art Institute of Chicago', 1), ('Loma Linda University School of Dentistry', 1)]"
Right,30.43,['UCLA'],21,"[('UCLA', 21), ('University of Southern California', 9), ('Beverly Hills High School', 7), ('Herman Ostrow School of Dentistry of USC', 3), ('University of California, Los Angeles', 2), ('USC Gould School of Law', 2), ('University of Pennsylvania', 1), ('CSU Dominguez Hills', 1), ('California State University, Dominguez Hills', 1), ('The University of Melbourne', 1)]"
Wrong,28.07,"['LMU Loyola Law School', 'The University of Melbourne']",16,"[('University of Southern California', 16), ('Beverly Hills High School', 9), ('UCLA', 8), ('Santa Monica College', 3), ('Boston University', 2), ('UCLA School of Law', 2), ('UCLA School of Arts and Architecture', 1), ('SCI-Arc', 1), ('The University of Melbourne', 1), ('University of Illinois Urbana-Champaign', 1)]"
Wrong,27.87,"['University of California, Los Angeles', 'Santa Monica College']",17,"[('UCLA', 17), ('University of Southern California', 11), ('Beverly Hills High School', 11), ('UC Santa Barbara', 3), ('University of Pennsylvania', 1), ('The American University of Paris', 1), ('Keck School of Medicine of USC', 1), ('CSU Dominguez Hills', 1), ('Wumbo', 1), ('University of Illinois Urbana-Champaign', 1)]"
Wrong,27.59,"['University of Florida', 'Rush University']",16,"[('UCLA', 16), ('University of Southern California', 9), ('Beverly Hills High School', 7), ('UC San Diego', 2), ('USC Marshall School of Business', 2), ('Herman Ostrow School of Dentistry of USC', 2), ('Georgetown University', 1), ('Columbia Journalism School', 1), ('University of Pennsylvania', 1), ('California University of Science and Medicine', 1)]"
Right,27.54,['UCLA'],19,"[('UCLA', 19), ('University of Southern California', 12), ('Beverly Hills High School', 9), ('Herman Ostrow School of Dentistry of USC', 3), ('University of California, Los Angeles', 2), ('UC San Diego', 2), ('UC Santa Barbara', 2), ('California University of Science and Medicine', 1), ('Southern Methodist University', 1), ('Seattle University', 1)]"
Wrong,27.14,['University of Southern California'],19,"[('UCLA', 19), ('University of Southern California', 11), ('Beverly Hills High School', 9), ('UC San Diego', 2), ('Santa Monica College', 2), ('Indiana University', 2), ('USC Marshall School of Business', 2), ('UC Santa Barbara', 2), ('University of Pennsylvania', 1), ('California University of Science and Medicine', 1)]"
Wrong,25.81,"['California State University, Northridge']",16,"[('University of Southern California', 16), ('UCLA', 9), ('Beverly Hills High School', 7), ('UC Santa Barbara', 3), ('USC Marshall School of Business', 2), ('Make-up Designory, Burbank', 1), ('The University of Texas ', 1), ('The American University of Paris', 1), ('Parsons School of Design', 1), ('Keck School of Medicine of USC', 1)]"
Right,25.33,['UCLA'],19,"[('UCLA', 19), ('University of Southern California', 12), ('Beverly Hills High School', 11), ('UC San Diego', 3), ('Indiana University', 3), ('Santa Monica College', 2), ('UC Santa Barbara', 2), ('Herman Ostrow School of Dentistry of USC', 2), ('University of Pennsylvania', 1), ('California University of Science and Medicine', 1)]"
Right,25.0,['UCLA'],17,"[('UCLA', 17), ('Beverly Hills High School', 11), ('University of Southern California', 10), ('Santa Monica College', 3), ('UC Santa Barbara', 2), ('The American University of Paris', 1), ('Keck School of Medicine of USC', 1), ('CSU Dominguez Hills', 1), ('University of California, Los Angeles', 1), ('University of California, Irvine', 1)]"
