Right/Wrong,Conf Pred Right,Actual,Ranking Array
Wrong,18.75,['UCLA'],[]
Right,40.0,"['Beverly Hills, California', 'Los Angeles, California']",[]
Wrong,28.57,1996,"[('1997', 8), ('1996', 7), ('1998', 5), ('1995', 3), ('1999', 2), ('1954', 1), ('1990', 1), ('1994', 1)]"
Wrong,20.83,['Beverly Hills High School'],[]
Right,79.66,['Beverly Hills High School'],"[('Beverly Hills High School', 47), ('Milken Community Schools', 5), ('BHHS', 1), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Wrong,25.0,['UCLA'],[]
Right,45.1,"['Los Angeles, California']","[('Los Angeles, California', 23), ('Beverly Hills, California', 21), ('Manhattan, New York', 1), ('Kansas City, Kansas', 1), ('Long Beach, California', 1), ('Moved in 2015', 1), ('Tel Aviv, Israel', 1), ('Paris, France', 1), ('Mexico City, Mexico', 1)]"
Wrong,19.4,['UCLA'],[]
Wrong,61.36,['Milken Community Schools'],"[('Beverly Hills High School', 27), ('Milken Community Schools', 12), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,20.25,['Tufts University'],[]
Right,87.5,['Beverly Hills High School'],"[('Beverly Hills High School', 49), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1), ('Milken Community Schools', 1)]"
Wrong,43.9,"['San Francisco, California', 'Los Angeles, California']",[]
Wrong,34.38,1996,"[('1997', 11), ('1996', 7), ('1995', 4), ('1990', 4), ('1998', 3), ('1999', 2), ('1994', 1)]"
Right,65.0,Jewish (religion),"[('Jewish (religion)', 13), ('Christians', 1), ('Wumbology', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Jewish/Catholic', 1), ('Catholic (church)', 1)]"
Wrong,31.25,1997,"[('1996', 10), ('1997', 8), ('1998', 4), ('1999', 3), ('1990', 3), ('1994', 2), ('1954', 1), ('1995', 1)]"
Wrong,8.7,"['Dandy', 'TutorYou Beverly Hills', 'USC Undergraduate Student Government']",[]
Right,20.37,['University of Southern California'],[]
Right,76.6,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,44.44,"['Beverly Hills, California']",[]
Wrong,22.58,['SUNY Downstate College of Medicine'],[]
Wrong,44.59,"['Los Angeles, California']",[]
Right,58.82,Jewish (religion),"[('Jewish (religion)', 10), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1), ('Other', 1)]"
Right,27.59,1997,"[('1997', 8), ('1998', 5), ('1996', 5), ('1995', 4), ('1999', 2), ('1990', 2), ('1994', 2), ('1954', 1)]"
Wrong,6.06,['Cleopatra Records'],[]
Right,82.61,['Beverly Hills High School'],"[('Beverly Hills High School', 38), ('Milken Community Schools', 2), ('BHHS', 1), ('El Rodeo School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1)]"
Wrong,88.37,['American School Foundation'],"[('Beverly Hills High School', 38), ('Campbell Hall School', 1), ('Palisades Charter High School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('Milken Community Schools', 1)]"
Wrong,43.1,"['Mexico City, Mexico', 'Cuernavaca, Morelos']",[]
Right,26.92,1997,[]
Wrong,18.03,"['California State University, Northridge']",[]
Right,93.33,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('El Rodeo School', 2), ('Milken Community School', 1)]"
Right,46.38,"['Beverly Hills, California', 'Sherman Oaks']",[]
Wrong,62.5,Atheist,"[('Jewish (religion)', 10), ('Jewish', 2), ('Other', 2), (""Bahá'í"", 1), ('Catholic (church)', 1)]"
Wrong,60.0,Citizen of the World,"[('Other', 3), ('viva mexico y calderon tambien', 1), ('Democratic Party', 1)]"
Right,42.86,1997,"[('1997', 12), ('1996', 5), ('1995', 4), ('1998', 3), ('1994', 2), ('1999', 1), ('1990', 1)]"
Wrong,18.67,['UC Riverside'],[]
Wrong,82.14,['Newport Harbor High'],[]
Right,45.65,"['Newport Beach, California', 'Beverly Hills, California']",[]
Wrong,20.0,['Georgia Tech'],[]
Right,81.25,['Beverly Hills High School'],"[('Beverly Hills High School', 39), ('Milken Community Schools', 3), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.08,"['Los Angeles, California', 'Beverly Hills, California']",[]
Right,24.14,['University of Southern California'],[]
Right,37.04,1997,"[('1997', 10), ('1996', 8), ('1995', 3), ('1932', 1), ('1999', 1), ('1998', 1), ('1980', 1), ('1990', 1), ('1994', 1)]"
Wrong,20.59,"['Southwestern Law School', 'UC Santa Barbara']",[]
Right,76.79,['Beverly Hills High School'],"[('Beverly Hills High School', 43), ('Milken Community Schools', 5), ('El Rodeo School', 2), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Wrong,39.24,"['Los Angeles, California']",[]
Right,65.0,Jewish (religion),"[('Jewish (religion)', 13), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1), ('Other', 1)]"
Right,16.9,['University of Southern California'],[]
Wrong,44.05,"['Los Angeles, California']",[]
Right,68.75,Jewish (religion),"[('Jewish (religion)', 11), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Catholic (church)', 1), ('Other', 1)]"
Wrong,50.0,['Chapman University'],"[('UCLA', 2), ('LMU Loyola Law School', 1), ('Boston University', 1)]"
Right,66.67,"['Los Angeles, California']","[('Los Angeles, California', 4), ('Tel Aviv, Israel', 1), ('Beverly Hills, California', 1)]"
Wrong,100.0,Jewy,"[('Jewish (religion)', 2)]"
Wrong,21.54,['USC Marshall School of Business'],[]
Right,49.25,"['Beverly Hills, California', 'Los Angeles, California']",[]
Right,63.16,Jewish (religion),"[('Jewish (religion)', 12), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1)]"
Wrong,20.9,['Indiana University'],[]
Right,51.25,"['Beverly Hills, California', 'Great Neck, New York']",[]
Wrong,17.19,['Beverly Hills High School'],[]
Right,70.83,['Beverly Hills High School'],[]
Right,44.59,"['Beverly Hills, California']",[]
Wrong,24.14,1995,"[('1997', 7), ('1996', 6), ('1998', 5), ('1995', 4), ('1990', 3), ('1994', 2), ('1954', 1), ('1999', 1)]"
Wrong,43.48,"['Los Angeles, California']",[]
Right,38.46,1997,"[('1997', 10), ('1996', 6), ('1998', 3), ('1995', 3), ('1994', 2), ('1954', 1), ('1990', 1)]"
Wrong,7.14,['Taco Bell Guatemala'],[]
Wrong,18.52,"['Pierce College', 'University of Southern California', 'Santa Monica College', 'Beverly Hills High School']",[]
Right,88.1,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Wrong,47.06,"['Los Angeles, California', 'Bristol, United Kingdom']",[]
Wrong,33.33,['Brandeis University'],"[('University of Southern California', 3), ('CSUN', 1), ('Riverside City College', 1), ('UC Berkeley', 1), ('UC San Diego', 1), ('Beverly Hills High School', 1), ('UCLA', 1)]"
Wrong,41.67,"[""Solone, Dnipropetrovs'Ka Oblast', Ukraine"", 'Los Angeles, California']","[('Beverly Hills, California', 5), ('Los Angeles, California', 2), ('Cincinnati', 1), ('Miami, Florida', 1), ('Shanghai, China', 1), ('Natick, Massachusetts', 1), ('Paris, France', 1)]"
Right,57.14,1996,"[('1996', 4), ('1997', 3)]"
Wrong,9.09,"['Lucky Day', 'Beverly Hills DECA']",[]
Right,20.59,['University of Southern California'],[]
Right,73.21,['Beverly Hills High School'],"[('Beverly Hills High School', 41), ('Milken Community Schools', 6), ('El Rodeo School', 2), ('BHHS', 1), ('Calabasas High School', 1), ('Lycée Français de Los Angeles', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,43.24,"['Los Angeles, California', 'Beverly Hills, California']",[]
Right,28.57,1997,"[('1997', 8), ('1998', 6), ('1996', 5), ('1995', 3), ('1990', 2), ('1994', 2), ('1954', 1), ('1999', 1)]"
Wrong,22.73,"['University of Southern California', 'Beverly Hills High School']",[]
Right,80.39,['Beverly Hills High School'],"[('Beverly Hills High School', 41), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,51.35,"['Beverly Hills, California']",[]
Wrong,35.71,1995,"[('1997', 10), ('1996', 6), ('1998', 5), ('1995', 3), ('1994', 2), ('1954', 1), ('1999', 1)]"
Right,15.79,"['University of Southern California', 'Beverly Hills High School']",[]
Right,94.87,['Beverly Hills High School'],"[('Beverly Hills High School', 37), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Right,44.78,"['Beverly Hills, California', 'Paris, France']",[]
Right,45.83,1997,"[('1997', 11), ('1996', 7), ('1998', 2), ('1995', 2), ('1990', 1), ('1994', 1)]"
Right,20.0,['UCLA'],[]
Right,77.78,['Beverly Hills High School'],"[('Beverly Hills High School', 42), ('Milken Community Schools', 4), ('El Rodeo School', 2), ('BHHS', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,47.44,"['Beverly Hills, California']",[]
Right,74.07,['Beverly Hills High School'],[]
Right,8.7,"['Fresh Brothers', 'Teen Line', 'Cedars-Sinai']",[]
Wrong,18.33,['UCLA'],[]
Right,76.6,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 4), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('American School Foundation', 1)]"
Right,45.83,"['Beverly Hills, California']",[]
Right,76.6,['Beverly Hills High School'],"[('Beverly Hills High School', 36), ('Milken Community Schools', 4), ('BHHS', 1), ('El Rodeo School', 1), ('Beverly Hills High', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,39.73,"['Beverly Hills, California']",[]
Right,29.63,1996,"[('1996', 8), ('1997', 7), ('1995', 3), ('1999', 2), ('1998', 2), ('1990', 2), ('1994', 2), ('1954', 1)]"
Right,81.63,['Beverly Hills High School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 3), ('El Rodeo School', 2), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,45.31,"['Beverly Hills, California']",[]
Right,82.61,['Beverly Hills High School'],"[('Beverly Hills High School', 38), ('El Rodeo School', 2), ('Milken Community Schools', 2), ('Beverly Hills High', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Milken Community School', 1), ('American School Foundation', 1)]"
Right,57.14,Jewish (religion),"[('Jewish (religion)', 8), ('Jewish', 2), ('Other', 2), (""Bahá'í"", 1), ('Catholic (church)', 1)]"
Wrong,21.92,['California Polytechnic State University (Cal Poly)'],[]
Right,80.0,['Beverly Hills High School'],"[('Beverly Hills High School', 44), ('Milken Community Schools', 6), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
Right,44.87,"['Beverly Hills, California']",[]
Wrong,6.25,"['Bosquet', 'Pixel Terror']",[]
Right,21.13,"['USC Marshall School of Business', 'University of Southern California']",[]
Wrong,76.92,['Milken Community School'],"[('Beverly Hills High School', 40), ('Milken Community Schools', 8), ('El Rodeo School', 1), ('Solebury School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1)]"
Wrong,42.67,"['Los Angeles, California']",[]
Wrong,10.71,['Canyon Creek Summer Camp'],[]
