Right/Wrong,Conf Pred Right,Actual,Max,Ranking Array
Right,92.86,Jewish (religion),13,"[('Jewish (religion)', 13), ('Jewish', 1)]"
Right,85.71,Jewish (religion),12,"[('Jewish (religion)', 12), ('have none', 1), ('Jewish', 1)]"
Right,81.25,Jewish (religion),13,"[('Jewish (religion)', 13), ('Pure Jew', 1), ('have none', 1), ('Jewish', 1)]"
Wrong,75.0,Pure Jew,12,"[('Jewish (religion)', 12), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Other', 1)]"
Right,66.67,Jewish (religion),14,"[('Jewish (religion)', 14), ('Jewish', 2), ('Other', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1)]"
Wrong,66.67,Other,12,"[('Jewish (religion)', 12), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Other', 1)]"
Right,65.0,Jewish (religion),13,"[('Jewish (religion)', 13), ('Christians', 1), ('Wumbology', 1), (""Bahá'í"", 1), ('have none', 1), ('Jewish', 1), ('Jewish/Catholic', 1), ('Catholic (church)', 1)]"
Right,65.0,Jewish (religion),13,"[('Jewish (religion)', 13), ('Jewish', 2), ('Islam', 1), (""Bahá'í"", 1), ('have none', 1), ('Catholic (church)', 1), ('Other', 1)]"
Wrong,65.0,Jewish. ♥ Jewish. ♥,13,"[('Jewish (religion)', 13), ('Jewish', 3), ('Christians', 2), ('Jewish/Catholic', 1), ('Catholic (church)', 1)]"
Wrong,61.54,cristian,16,"[('Jewish (religion)', 16), ('Christians', 2), ('Jewish', 2), ('Pure Jew', 1), ('Islam', 1), ('Jew - Reform', 1), (""Bahá'í"", 1), ('Jewish/Catholic', 1), ('Other', 1)]"
