Right/Wrong,Conf Pred Right,Actual,Max,Ranking Array
Wrong,94.55,['Venice High School'],52,"[('Beverly Hills High School', 52), ('Douglas Marshall', 1), ('Horace Mann School', 1), ('El Rodeo School', 1)]"
Right,94.0,['Beverly Hills High School'],47,"[('Beverly Hills High School', 47), ('opportunitys for learning', 1), ('El Rodeo School', 1), ('Milken Community School', 1)]"
Right,94.0,['Beverly Hills High School'],47,"[('Beverly Hills High School', 47), ('El Rodeo School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Right,92.16,['Beverly Hills High School'],47,"[('Beverly Hills High School', 47), ('BHHS', 1), ('Beverly hills high school', 1), ('Episcopal High School (Houston)', 1), ('Milken Community Schools', 1)]"
Right,90.74,['Beverly Hills High School'],49,"[('Beverly Hills High School', 49), ('BHHS', 1), ('El Rodeo School', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Right,90.38,['Beverly Hills High School'],47,"[('Beverly Hills High School', 47), ('BHHS', 1), ('Horace Mann School', 1), ('Campbell Hall School', 1), ('Newport Harbor High', 1), ('Milken Community Schools', 1)]"
Right,88.89,['Beverly Hills High School'],48,"[('Beverly Hills High School', 48), ('El Rodeo School', 2), ('Douglas Marshall', 1), ('Beverly Vista School', 1), ('Milken Community School', 1), ('Milken Community Schools', 1)]"
Right,87.5,['Beverly Hills High School'],49,"[('Beverly Hills High School', 49), ('El Rodeo School', 1), ('Shrewsbury International School Bangkok, Thailand', 1), ('Campbell Hall School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1), ('American School Foundation', 1), ('Milken Community Schools', 1)]"
Wrong,85.96,['El Rodeo School'],49,"[('Beverly Hills High School', 49), ('Milken Community Schools', 2), ('BHHS', 1), ('Horace Mann School', 1), ('Beverly Vista School', 1), ('El Rodeo School', 1), ('Milken Community School', 1), ('Newport Harbor High', 1)]"
Right,85.45,['Beverly Hills High School'],47,"[('Beverly Hills High School', 47), ('Milken Community Schools', 3), ('BHHS', 1), ('El Rodeo School', 1), ('University of Southern California', 1), ('Sinai Akiba Academy', 1), ('Milken Community School', 1)]"
